cell_name,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Gefitinib,Navitoclax,Vorinostat,Nilotinib,Olaparib,AZD7762,Afatinib,Staurosporine,PLX-4720,Wee1 Inhibitor,Nutlin-3a (-),PD173074,Alisertib,MK-2206,Palbociclib,Dactolisib,Pictilisib,PD0325901,5-Fluorouracil,Dasatinib,Paclitaxel,Crizotinib,Rapamycin,Sorafenib,Irinotecan,Oxaliplatin,BMS-536924,GSK1904529A,Erlotinib,MK-1775,Gemcitabine,Bortezomib,Tamoxifen,Fulvestrant,EPZ004777,YK-4-279,Talazoparib,Trametinib,Dabrafenib,Temozolomide,Linsitinib,Epirubicin,Cyclophosphamide,Pevonedistat,Sapitinib,Uprosertib,Lapatinib,Luminespib,Alpelisib,Taselisib,EPZ5676,SCH772984,Entinostat,LGK974,AZD4547,Dactinomycin,MG-132,BDP-00009066,Buparlisib,Ulixertinib,Venetoclax,ABT737,Afuresertib,AGI-5198,AZD3759,AZD5363,AZD6738,AZD8186,Osimertinib,Cediranib,Ipatasertib,GDC0810,GNE-317,GSK2578215A,I-BRD9,Telomerase Inhibitor IX,MIRA-1,NVP-ADW742,P22077,Savolitinib,UMI-77,WIKI4,Sepantronium bromide,MIM1,WEHI-539,BPD-00008900,Foretinib,BIBR-1532,Pyridostatin,AMG-319,MK-8776,Vinorelbine,VX-11e,LJI308,AZ6102,GSK591,VE821,AT13148
AU565,0.1874312948,0.3797597955,0.2605162731,0.4691449172,0.08803249256,0.07110353826,0.5582007147,0.2892904177,0.2875494752,0.4523629573,0.3297899397,0.2354831923,0.2576366079,0.6712013837,0.3130889473,0.5163458616,0.5123904827,0.5346279079,0.3641821538,0.1971087115,0.3917578989,0.1857399706,0.6702080365,0.02758311696,0.6397431303,0.01544277292,0.3868003877,0.06258580761,0.5260564799,0.388737188,0.6713561502,0.3275650945,0.1791021146,0.3097213069,0.3389476052,0.08225928018,0.1938348147,0.2482154436,0.503955377,0.3417503475,0.2915104544,0.4134094481,0.7859046866,0.72464294,0.4270127538,0.2085349991,0.3020162831,0.3414282274,0.5307295288,0.05702479583,0.257644565,0,0.3930777523,0.2745557392,0.4192710605,0.2334979741,0.6416857248,0.2003788528,0.2871100206,0.644494884,0.3991539823,0.3320023998,0.1012968246,0.1987375838,0.6374803139,0.6619880669,0.7333454484,0.406082558,0.2824963139,0.4137065474,0.389708819,0.4199662859,0.4416315155,0.04067312665,0.2462219556,0.4468061106,0.2967962274,0.247046202,0.1257102716,0.3123336177,0.6306625705,0.3862016818,0.1694099599,0.4747051479,0.5044641787,0.3977387878,0.3006564776,0.5720278915,0.04278340982,0.6280533347,0,0.1509513355,0.5745118993,0.7485266818,0.2859492922,0.3006467138,0.07441946491,0.5579413151,0.3907073501,0.2336579821,0,0.2227116809,0.03343374489
BT-20,0.2938148983,0.4927201749,0.4481973666,0.6798253346,0.6236005693,0.449047613,0.5773833943,0.8314569464,0.4089903545,0.3845986338,0.4902313572,0.706074423,0.3581732685,0.5637388784,0.3523597216,0.5902218673,0.6782627392,0.5079949286,0.4401440919,0.3005954732,0.4165597304,0.226259321,0.5079177373,0.4390430556,0.6093444512,0.1956990208,0.6577524183,0.6892304199,0.2925439199,0.4831792302,0.5235969617,0.4533494115,0.6922518774,0.4613231107,0.3821703353,0.5777496891,0.4062466818,0.444369901,0.5526548308,0.1152567756,0.1912762626,0.6374581427,0.5488779948,0.7370829004,0.2256791981,0.4482021819,0.5348331969,0.1061195159,0.4842572309,0.3277402552,0.476080688,0.3612887678,0.4322499798,0.142110037,0.1464281156,0.3020015487,0.5853116476,0.595996492,0.1002004806,0.644315355,0.3539552562,0.6205629741,0.298888597,0.2359863933,0.7084113708,0.5354297859,0.6991378521,0.4583592178,0.2744383748,0.4588483303,0.3424057939,0.4157943346,0.6120721707,0.6009819,0.604450181,0.3754447427,0.4189456937,0.3169429586,0.3799589214,0.6101118462,0.6666019119,0.289392776,0.5144708313,0.3144491587,0.4638952546,0.5363900887,0.4341254303,0.4627474211,0.474976492,0.6922794294,0.5396314384,0.3593161918,0.4334066907,0.5583205191,0.5065218386,0.5144828175,0.4309251209,0.5413844189,0.404588977,0.5061792983,0.5137821026,0.5072040587,0.4892181547
BT-474,1,0.4478356112,0.9386836266,0.8859034983,0.3359215871,0.4669284185,0.665133009,0.4852320854,0.5253919055,0.7381555551,0.8151083101,0.3184745593,0.2601050174,0.8159669612,0.4621478505,0.7943654527,0.8240455001,0.8488231675,0.4314824535,0.5798857933,0.7917353228,0.3116728647,0.8884488832,0.8512928302,0.8713738303,0.4330033824,0.7301122135,0.6881208632,0.1968075658,0.905985372,0.8074248425,0.7150940559,0.4270059035,0.5057162596,0.5549216855,0.85942176,0.8041075864,0.7610567652,0.5354018137,0.5327078673,0.376695542,0.8657743801,0.815216132,0.8472044035,0.6824955947,0.7138157184,0.6471996698,0.6779806368,0.6612747812,0.1374992084,0.6399091274,0.1062740989,0.4000333133,0.2232219352,0.3744527646,0.3661906069,0.8064139165,0.2841386537,0.2356903678,0.5891738505,0.635031089,0.8453662359,0.9721345995,0.5892928722,0.8756761179,0.7452946729,0.9323690415,0.4824206549,0.6974833288,0.8616804024,0.5307129615,0.7072940319,0.615030003,0.1793809441,0.5278954667,0.4898605569,0.6120861312,0.6202723959,0.7968076299,0.7291928333,0.9272230764,0.7208899335,0.5301432531,0.3545454846,0.6584804232,0.9966228442,0.5219153833,0.5313102593,0.5588914947,0.9016311459,0.8966214812,0.5247028473,0.605961573,0.9203771027,0.751562861,0.7892671944,0.5524147994,0.7680384285,0.7268242419,0.9074877459,0.6819412136,0.7544168424,0.7944314622
BT-483,0.8250942155,1,0.9686216838,1,0.447495903,1,0.7587330454,0.8533811083,0.7181116949,1,0.5456394497,1,1,1,0.5362086977,0.8085715192,1,0.8494960578,0.9259116578,1,0.9459222596,0.6079434314,1,1,1,1,0.8920355845,1,0.8101672174,0.9547137891,0.701110694,0.8254325839,0.7786852221,1,0.9175630065,1,0.8873125038,0.8844268437,0.5805626381,0.9496125206,1,1,1,0.9199253556,0.9021791385,1,1,1,1,0.7599201627,0.8925538001,0.7318633641,1,0.4749014552,0.6347761581,1,0.9819678969,1,0.8279751697,0.8715955835,1,1,1,0.8152366429,0.9201155031,1,0.9619268277,0.8596728228,1,0.9368574666,0.8778231101,1,0.9801541092,1,0.8961181005,0.8881666045,1,0.6906877594,0.9627120726,0.9269370277,1,1,1,1,0.9940074888,1,0.6366265613,0.03834970908,0.652130569,0.9906598761,1,1,1,0.990947591,0.9381692022,1,1,1,1,1,1,1,1
BT-549,0.4184175914,0.4379777832,0.567320472,0.5882754422,0.2531121198,0.6526855956,0.5215148591,0.9616741292,0.2752997058,0.6114402631,0.1461320437,0.6072844727,0.0489843354,0.6572634533,0.1583943355,0.7210116051,0.3049755926,0.5101527728,0.4096159609,0.3768129731,0.2672429336,0.337352761,0.7431053815,0.3712085409,0.41636935,0.1150597515,0.2078871951,0.4369063588,0.4570489638,0.4829243419,0.6317157212,0.3344680168,0.5068698495,0.7755520432,0.1326172105,0.6099450341,0.2739670006,0.5555825837,0.6383063827,0.6008781307,0.3026596514,0.5161513382,0.717480373,0.7967253945,0.6870070216,0.6830522082,0.3911937351,0.5180997835,0.5409102327,0.7926422889,0.656347402,0.4589365095,0.2878391035,0.5187735755,0.5364167884,0.6217211327,0.7072488779,0.3707852355,0.7076423974,0.8069635498,0.3337017441,0.2359183554,0,0.4192298718,0.9099579744,0.8040092177,0.78741753,0.475653166,0.5088103043,0.6839013309,0.4839254285,0.1874317716,0.5723203099,0.5649105775,0.2249490811,0.5039877202,0.6347917871,0.3928609065,0.2490358144,0.3011583237,0.4732387174,0.6131496013,0.243425845,0.5304215985,0.7601696843,0.2185432672,0.1566890602,0.7345745714,0.3186872649,0.7589858623,0.1072871355,0.2998842826,0.7964709089,0.36911486,0.5330427933,0.3594417598,0.4411062941,0.6060350148,0.5913491845,0.4247142085,0.5432415619,0.4505151758,0.1842974223
CAL-120,0.4286046393,0.5150876184,0.9257810421,0.6186538944,0.3013335019,0.8929144218,0.3295299282,0.7386889127,0.5921344126,0.9617295729,0.5434689906,0.8461033553,0.3679320154,0.9167825362,0.4592807069,0.9460218171,0.7967229642,0.7161094297,0.9640165764,0.658948315,0.1183319981,0.3846922236,0.9045648134,0.8528968922,0.4052684567,0.4338592913,0.6768018326,0.4232476437,0.5776608451,0.5565750233,0.8558589368,0.3289318444,1,0.8392456864,0.3151356718,0.4778704725,0.188769875,1,1,1,0.4595881907,0.6465223203,0.6754401543,0.8571871771,1,0.9211419956,0.4173016267,0.9016607596,0.4045753043,1,0.8391458657,1,0.3721084657,0.8379240443,0.6176702175,0.9013134864,0.9359979717,0.7680886791,1,0.5639738091,0.2609659706,0.2504291552,0.2974703476,0.4118092575,0.9596300737,0.8308292351,0.4390005167,0.5579896846,0.7807187642,0.9377206368,0.5714006345,0.4449191214,0.7778946861,0.9713325255,0.4179328027,0.7222466129,0.7955228957,0.1901160923,0.9926959645,0.8673324289,0.3870913282,0.981505325,0.5383036619,0.4247431153,0.5310281576,0.426778975,0.6633886266,0,0.6607189504,0.2434016074,0.6325047162,0.1201998958,0.6855519962,0.7775177151,1,0.7249320239,0.3854625243,0.6814971557,0.7176501333,0.7316370456,0.7383427759,0.8460534968,0.7033324944
CAL-148,0,0.0473561064,0.02038579284,0,0.007510355898,0.4635068834,0.3849231799,0.2147271845,0.5898060616,0.3997509481,0.3462173978,0.5917233439,0.4194564918,0.6266740203,0.06987837283,0.03652685633,0.7589901562,0.4255151305,0.04966457388,0.242255082,0.1501373383,0.1503074211,0.6608985209,0.01448934715,0.5822729326,0.08935506393,0.1403169767,0,0.178093162,0,0,0.7747722926,0.6234103102,0.4431334362,0.09102401035,0.2236715897,0.6603300779,0.7462620607,0,0,0.04917104477,0,0.7050328685,0.8099553157,0.3723905262,0.6996532188,0.0977801071,0.2909050671,0.7335013667,0.6392447021,0,0.6130601997,0.1278869185,0.1318082018,0.109775595,0.316368824,0.8340985706,0.01529155203,0.5776179367,0.7242056132,0.06834259765,0.4492925748,0.1701655281,0.1840733414,0.6138402579,0.6371566663,0.5597988673,0,0.1489900143,0.5466171619,0,0.06548542616,0.467903483,0.3255606075,0.199480896,0,0.3570228619,0.1378674703,0.1200016244,0.5332062884,0.0965666576,0.07984134267,0.5388497094,0.364150357,0.574494041,0.2584884564,0.403044215,0.4311264985,0.4165816085,0.5463765936,0.4626599826,0.02352745726,0.1701637582,0,0.5476200629,0.4905065393,0.133866836,0.5072968923,0.4508882071,0.121775829,0.2530413732,0.1689677904,0
CAL-51,0.1412181166,0.1119840832,0.1871456691,0.09236107201,0.138036318,0.4201672582,0.5054631742,0.4498446207,0.236594796,0.2288357163,0.2046767705,0.7383650355,0.1791486609,0.6819592496,0.067862849,0.2689315498,0.513319974,0.5089838718,0.5338985984,0.1598570495,0.09782786776,0.2768999367,0.5864482184,0.1451281838,0.4470616958,0.5347579219,0.357726104,0.3009425385,0.08056606883,0.2838741428,0.4145052599,0.09981198931,0.5006193861,0.4524925314,0.0687072448,0,0.228961598,0.389849263,0.4040665372,0.118545511,0.06544002593,0.03814168487,0.5518113655,0.67137057,0.3219848534,0.5360479163,0.1410580082,0.3133733928,0.2689734708,0.5492111823,0.4241426279,0.3891702642,0,0.4136007206,0.3373637773,0.2929805482,0.6324140879,0.4029016883,0.2890957106,0.3900192029,0.0736521401,0.2971420458,0.1154678703,0.07277411668,0.5550531037,0.5885074861,0.796753866,0.3198841442,0.366816467,0.5498747072,0.3480889467,0.003177630803,0.5944798315,0.4760480116,0.175675115,0.3238903132,0.5393995803,0.1046445209,0.3692322679,0.4822652232,0.2128384129,0.4587297426,0.412560637,0.1438308383,0.2974200065,0.1377847799,0.1203339398,0.1101806221,0.1698738624,0.6558060955,0.5567438644,0.1641988086,0.4383972375,0.4915936831,0.611832077,0.4244041898,0.1381668683,0.4580656455,0.3692821966,0.2539498426,0.2621972168,0.04735884572,0.2690390231
CAL-85-1,0.4255662033,0.4717633016,0.525818228,0.6056667328,0.3076702755,0.5334936179,0.5879041175,0.6502835463,0.5523197484,0.4711240556,0.2929206315,0.7147039502,0.2479721368,0.6595524608,0.3652897153,0.7066160733,0.761638156,0.6951921156,0.7296391,0.2382204973,0.3679806174,0.2988735225,0.5084280434,0.417825903,0.4962633077,0.2160070301,0.2124165001,0.8202304698,0.5156299457,0.6050592951,0.4123352227,0.08918810318,0.8294366625,0.6382984615,0.2962425335,0.4576445476,0.1388599607,0.4708554686,0.6574115881,0.6145444112,0.4074251178,0.7308075167,0.4959641303,0.7777061718,0.3405890969,0.367191125,0.5596158985,0.4243948534,0.4495291196,0.3826289784,0.8210117534,0.4925657347,0.1998537171,0.3900794581,0.355515102,0.4790387145,0.5413401036,0.4121929566,0.2895415549,0.8051969729,0.3324993246,0.314651169,0.1335973275,0.3714576825,0.192884443,0.6824199166,0.8600361528,0.568440168,0.5774297992,0.6672118956,0.7660684812,0.2722656815,0.6365121904,0.7432962167,0.322138733,0.5608059686,0.3761683359,0.3207601632,0.5477448273,0.7275146743,0.3834245913,0.3562410522,0.2555276592,0.5538062654,0.5609907136,0.2370443994,0.5131154971,0.5309343118,0.3320836718,0.7455366774,0.5943023242,0.1751567218,0.6169386627,0.7542309025,0.6385497704,0.6971763107,0.6465176329,0.5088721186,0.5213989613,0.595181963,0.543044754,0.5613329779,0.678803478
CAMA-1,0.4919486662,0.4572633817,0.3872482812,0.5186973871,0.2852554871,0.4624831014,0.4773036999,0.3353813704,0.3979949356,0.3367475123,0.5689048113,0.7727360964,0.4438470297,0.6253016728,0.3605695069,0.5351528568,0.5610157142,0.642700624,0.2730285973,0.1996264843,0.191992205,0.217044697,0.7211986357,0.3619585393,0.6292820674,0.2046820842,0.4011807923,0.5378229675,0.2383147571,0.5440858829,0.6499994697,0.7190134064,0.4623410937,0.6021013938,0.4435892224,0.5391705779,0.1573804533,0.2242143368,0.2711145534,0.118907942,0.1941529628,0.5535346211,0.6826050857,0.6957898436,0.1965931154,0.5258395263,0.3525179254,0.2446445152,0.6770350779,0.5610522587,0.3023232168,0.5657543451,0.4404778013,0.5235831771,0.4851317441,0.1570293408,0.698985822,0.3983861893,0.2141623981,0.6554506482,0.2629259309,0.3381008402,0.5708109376,0.3241301358,0.6548994835,0.5594626655,0.7229978662,0.1447868149,0.06084181662,0.5121849369,0.1827265992,0.2872098809,0.2923808296,0.4530759919,0.23452118,0.1729300999,0.02119845117,0.1407279283,0.07080624553,0.2418255311,0.2460446419,0.2992704926,0.3964652428,0.524786887,0.5494273339,0.2214563728,0.3516215165,0.1906043012,0.3257468546,0.7189164863,0.625814712,0.2597015535,0.3066633201,0.4141812235,0.3809267768,0.5458694005,0.2556134056,0.5191163222,0.4574911717,0.490424492,0.5279466241,0.4834119386,0.1839495977
COLO-824,0.5631458891,0.3314731861,0.4635715547,0.4772799988,0.5616181971,0.2188991583,0.1903977547,0.277528087,0.4052172288,0.5937410987,0.3035005777,0.5288826081,0.2858020342,0.7927529715,0.2029360419,0.6168758719,0.4784288545,0.511082463,0.3207592829,0.2467378857,0.3565467334,0.2764578956,0.6442331249,0.5038209652,0.7640104354,0.245029802,0.03113559878,0.6121458066,0.4592449283,0.6951301254,0.6621576486,0.1588391059,0.377673485,0.3212655855,0.2383958704,0.6050524066,0.04711682793,0.0925580969,0.2991494129,0.3000952478,0.2153676742,0.6089187968,0.6627634628,0.7699948937,0.4404958623,0.1243127972,0.5114623908,0.2022581834,0.2375949217,0.638093537,0.4064637222,0.3288453459,0.1626614262,0.3317336528,0.4488397737,0.3194023225,0.6256382426,0.3357418249,0.2891835254,0.3308800604,0.2905307495,0.2199310373,0.3380585166,0.2161142486,0.6335036977,0.1822110734,0.188203571,0.4530454457,0.4941260013,0.5215002088,0.3683339424,0.247563937,0.4509927768,0.3276044474,0.2976971086,0.4028882419,0.3462486433,0.4026701423,0.4963063433,0.1512594934,0.4768686829,0.4399401016,0,0.08272318452,0.3853119642,0.263943604,0.3952528787,0.1156665946,0.1800884304,0.5406591983,0.5699749097,0,0,0.4247413852,0.4057968711,0.6615662543,0.3358335221,0.460651731,0.4662393395,0.3380334443,0.371057448,0.280378081,0.1870122308
DU-4475,0.05021645915,0.2598129718,0.05646768143,0.01989639634,0.003599663361,0.1940885951,0.3627916297,0.1408649051,0,0,0.1891723489,0.5942157905,0,0,0.02028762541,0,0.4426392217,0.3929798224,0.4450259889,0.2407010721,0.3432816721,0.3956223373,0,0,0.4166005502,0.2919012087,0,0.5454312349,0.02600044052,0.123181875,0.1862689042,0.1336232123,0,0.2711217129,0.05838688863,0.02592789582,0.05319185396,0,0.2420245819,0.05608612828,0,0.399694957,0,0,0,0.09414425557,0,0.120544762,0,0.4784714022,0.4550397433,0.2116904151,0.06693855352,0.4669113917,0.6168084919,0,0,0,0.1058335716,0.2397057233,0,0,0.08525298401,0.1745739717,0,0.3660945674,0,0.5406131585,0.07373305602,0.4168980233,0.5308949985,0.07122521935,0.6030641507,0.2806350801,0.1910921777,0.5284609576,0.2842109337,0.379373069,0.1454124298,0.2505760148,0,0.09380800476,0.0293111739,0.1366336418,0,0.1702889339,0.1439829895,0.6149667983,0,0,0.2509174021,0.03178967898,0.2029376173,0.1915747042,0.185168889,0.3619507976,0.3782881324,0,0.01081901285,0.130322214,0.2272615471,0.01062310657,0.3530309005
EFM-19,0.5890584998,0.2221070431,0.7294453363,0.7393254764,0.2193258621,0.6086977137,0.5072714303,0.2868280202,0.5333571298,0.5800693213,0.4495756285,0.6160965726,0.2927577047,0.716965093,0.2789022682,0.6371425022,0.5384383227,0.5600245983,0.264454582,0.2601036007,0.505441991,0.1441108363,0.7688593339,0.3038224018,0.3602634451,0.1586637855,0.454854597,0.7553787737,0.4107171139,0.7566331373,0.4280160788,0.5377152233,0.5657218705,0.6857045299,0.3783554264,0.7302848121,0.2041898819,0.4791561369,0.1687659927,0.3187520674,0.1071207546,0.5654869276,0.7352806628,0.7502491905,0.3747164582,0.7138566236,0.4822749722,0.1300210792,0.6324565118,0.5156506069,0.3920461148,0.5538280905,0.505633581,0.151900464,0.3507755055,0.513790458,0.6864302539,0.7211207257,0.2941561136,0.4780623688,0.4633587936,0.3410479607,0.3550859545,0.215985671,0.726496629,0.6790370413,0.6647544372,0.4018280121,0.324342453,0.569447636,0.4124981981,0.5253128557,0.4168696048,0.4574079132,0.4300412337,0.3256804122,0.06909260549,0.09990176,0.2599462446,0.5442708552,0.2652497405,0.3523271614,0.4340527533,0.3981126693,0.7196594575,0.2827568672,0.6024212074,0.3984544341,0.5111635016,0.457581636,0.8001049968,0.2273762917,0.4951709603,0.4950265766,0.436204723,0.5777770659,0.218854859,0.6208994708,0.5729862528,0.390003847,0.4421513265,0.6571088114,0.3729297871
EFM-192A,0.7421386746,0.8307082879,0.6416301909,0.7548523432,0.7202187334,0.5610021735,0.8168712546,0.5430801923,0.5794117432,0.4439877122,0.7489384799,0.5226270752,0.3698360964,0.8279265267,0.754099332,0.666254631,0.6703431235,0.7180189388,0.4924830927,0.2958406025,0.3297563578,0.2777431875,0.7745246302,0.719980929,0.6747500096,0.6238837509,0.6923186302,0.390844929,0.4836936853,0.7643425795,0.7512623308,0.737842455,0.5189528396,0.3686340024,0.785588095,0.7134680376,0.1241472666,0.5721349333,0.5756669926,0.5618068474,0.3638634073,0.5231458433,0.730462974,0.7972816391,0.4121177019,0.6302869736,0.666363906,0.4645839055,0.659394392,0.204815122,0.504775686,0.2274483618,0.4355951534,0.2867357554,0.3527936351,0.4500340727,0.7755324476,0.2859394423,0.2399307677,0.5348727099,0.4033559019,0.3672360652,0.4607529465,0.161013652,0.839858776,0.666334705,0.6054516956,0.4989524624,0.2978150506,0.5825380821,0.4370807925,0.5434649646,0.5091095153,0.101370658,0.4612013692,0.5013618434,0.4567011629,0.235268475,0.3883740997,0.689674625,0.8525948611,0.5385669234,0.4503073876,0.3500385345,0.4082071136,0.2896352195,0.3103888731,0.4663560677,0.4267996623,0.7113671248,0.7914159397,0.3505647093,0.4575402452,0.666158108,0.6882767786,0.7392006232,0.8195239564,0.6122757707,0.5596741818,0.4296450862,0.5840814672,0.6374408441,0.385764294
EVSA-T,0.4145282428,0.3972178836,0.4158561027,0.416568613,0.1316514811,0.3815956305,0.5194869535,0.3233849178,0.01307369003,0.2138870305,0.2625996446,0.6203839503,0.1097055209,0.5840375252,0.1303004922,0.5253953258,0.5031515445,0.4656838576,0,0.1646223725,0.05387333991,0.1055862544,0.6447164732,0.4339822918,0.5545606291,0.2504168981,0.02319596655,0.4517632663,0.1272774738,0.6110994943,0.3521099468,0.1971106278,0.2190968513,0.2969305435,0.1958850507,0.4736555483,0.06122649799,0.02948029209,0.1512785293,0.1447934383,0.200739523,0.4297095742,0.6329989633,0.6391553526,0.06919946037,0.4022791739,0.3669365488,0.1265005578,0.2460396841,0.4491887291,0.09295163143,0.3273081464,0.21546611,0.4172747393,0.3131865059,0.1994595301,0.7042552111,0.09571112819,0.1669702019,0.3328155802,0.1849129415,0.07355806411,0.2268057954,0.02900883369,0.5242949691,0.5269949648,0.7624606768,0.04530169818,0.05186060621,0.4120932251,0.04682642118,0.4350128418,0,0.5204581161,0.1646956344,0.1040129283,0.2112793927,0.08102225709,0.1711632866,0.1384083714,0.32105306,0.191613656,0.1019016177,0.04723949697,0.197365956,0.226832826,0.3103613691,0.5221181961,0.01748186508,0.6320990957,0.2434728548,0.09402444626,0.2894072928,0.3730358519,0,0.4425548113,0.4142331105,0.4747291798,0.2766085934,0.1694705519,0.2962072887,0.4532863156,0.2061704064
